file,t_sec,P,y_A0,y_B0,y_C0,y_D0,y_E0,y_F0,y_G0,y_H0,y_I0,y_J0,y_K0,y_L0,y_M0,y_N0,y_O0,y_P0,y_Q0,y_R0,y_S0,y_T0,y_U0,y_V0,y_W0,y_X0,y_Y0,y_Z0
Matlab_Data\Synthetic\1\1A0\Waveform10000.mat,0,1.09313908296315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10000.mat,5,1.74549818958053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10000.mat,10,1.74818589369785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10000.mat,15,0.708709333082934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10000.mat,20,-0.00174900778214976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10000.mat,25,0.000519372057004684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10001.mat,0,1.09627235155833,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10001.mat,5,1.75192855277071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10001.mat,10,1.75400707276325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10001.mat,15,0.709269954478945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10001.mat,20,-0.00101744728026084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10001.mat,25,-0.00210679337528424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10002.mat,0,1.09915670089135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10002.mat,5,1.7548324874222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10002.mat,10,1.75273436997278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10002.mat,15,0.72367928355446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10002.mat,20,-0.000557932739028388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10002.mat,25,2.21070723650612e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10003.mat,0,1.11642399343931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10003.mat,5,1.75804963847372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10003.mat,10,1.75263969647331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10003.mat,15,0.70633121901677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10003.mat,20,-0.00107735638425961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10003.mat,25,-2.47228989098333e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10004.mat,0,1.10318141707542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10004.mat,5,1.74331353743301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10004.mat,10,1.72269394785305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10004.mat,15,0.712756213996804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10004.mat,20,-9.90949139438409e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10004.mat,25,-0.00172467027763806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10005.mat,0,1.08526848876874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10005.mat,5,1.74141971846441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matlab_Data\Synthetic\1\1A0\Waveform10005.mat,10,1.7442775453798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
