target,F1,P,R,pos_rate
y_Incandescent_Lamp_N0,0.4444444444444444,0.34509803921568627,0.624113475,0.2002840909090909
y_AC_Adapter_Sony_M0,0.43147208121827413,0.33203125,0.6159420289855072,0.19602272727272727
y_Oil_Heater_Q0,0.37333333333333335,0.24078624078624078,0.8305084745762712,0.16761363636363635
y_Soldering_Station_H0,0.3567567567567568,0.27615062761506276,0.5038167938931297,0.18607954545454544
y_Smoke_Extractor_E0,0.33865814696485624,0.24423963133640553,0.5520833333333334,0.13636363636363635
y_Phone_Charger_Motorola_I0,0.30128205128205127,0.18951612903225806,0.734375,0.090909091
y_Impact_Drill_P0,0.28668941979522183,0.18584070796460178,0.6268656716417911,0.095170455
y_Resistor_200ohm_L0,0.2505800464037123,0.14594594594594595,0.8852459016393442,0.086647727
y_Hair_Dryer_2100W_Z0,0.24161073825503357,0.13846153846153847,0.9473684210526315,0.053977273
y_Microwave_On_S0,0.23134328358208955,0.13304721030042918,0.8857142857142857,0.049715909
y_LED_Lamp_B0,0.21700879765395895,0.13653136531365315,0.5285714285714286,0.099431818
y_LED_Panel_D0,0.21518987341772153,0.13654618473895583,0.5074626865671642,0.095170455
y_Hair_Dryer_2000W_X0,0.2054794520547945,0.11811023622047244,0.7894736842105263,0.053977273
y_Microwave_Standby_A0,0.19473684210526315,0.11598746081504702,0.6065573770491803,0.086647727
y_Hair_Dryer_2000W_W0,0.1888412017167382,0.1111111111111111,0.6285714285714286,0.049715909
y_Oil_Heater_R0,0.18855218855218855,0.10687022900763359,0.8,0.049715909
y_Hair_Dryer_2100W_Y0,0.18493150684931506,0.108,0.6428571428571429,0.059659091
y_Phone_Charger_Asus_G0,0.14107883817427386,0.077625571,0.7727272727272727,0.03125
y_Hair_Dryer_1900W_U0,0.13526570048309178,0.078651685,0.4827586206896552,0.041193181818181816
y_Fan_Heater_T0,0.1111111111111111,0.061371841155234655,0.5862068965517241,0.041193181818181816
y_Hair_Dryer_1900W_V0,0.099099099,0.053398058,0.6875,0.045454545454545456
y_Fan_3Speed_K0,0.052380952,0.027227722772277228,0.6875,0.022727272727272728
