file,t_sec,P,y_Air_Conditioner,y_Blender,y_Coffee_maker,y_Compact_Fluorescent_Lamp,y_Fan,y_Fridge,y_Fridge_defroster,y_Hair_Iron,y_Incandescent_Light_Bulb,y_Iron_solder,y_Laptop,y_Vacuum,y_Water_kettle
1,0.5,0.003616064,,,,,0,,,,,,,0,
1,1.5,0.005005723,,,,,1,,,,,,,0,
1,2.5,0.12956568384599998,,,,,1,,,,,,,0,
1,3.5,-0.100564178,,,,,1,,,,,,,1,
1,4.5,0.003461573,,,,,1,,,,,,,1,
1,5.5,-0.010301841,,,,,1,,,,,,,1,
1,6.5,0.002134202,,,,,1,,,,,,,0,
1,7.5,0.003555725,,,,,0,,,,,,,0,
1,8.5,0.003561699,,,,,0,,,,,,,0,
1,9.5,0.003549581,,,,,0,,,,,,,0,
6,0.5,0.003403225,0,,,,,,,,0,,,,
6,1.5,0.003684284,0,,,,,,,,0,,,,
6,2.5,0.004406572,0,,,,,,,,1,,,,
6,3.5,0.003426827,1,,,,,,,,1,,,,
6,4.5,0.003226489,1,,,,,,,,1,,,,
6,5.5,0.002863989,1,,,,,,,,1,,,,
6,6.5,0.003768607,1,,,,,,,,0,,,,
6,7.5,0.002990895,0,,,,,,,,0,,,,
6,8.5,0.003308395,0,,,,,,,,0,,,,
6,9.5,0.003317335,0,,,,,,,,0,,,,
7,0.5,0.003397166,0,,,,,,,,,,,,0
7,1.5,0.001553016,1,,,,,,,,,,,,0
7,2.5,0.003836742,1,,,,,,,,,,,,0
7,3.5,0.003801742,1,,,,,,,,,,,,0
7,4.5,0.003575641,1,,,,,,,,,,,,0
7,5.5,-0.007880446,1,,,,,,,,,,,,1
7,6.5,0.005431825,1,,,,,,,,,,,,1
7,7.5,0.006027798,1,,,,,,,,,,,,1
7,8.5,0.005305638,0,,,,,,,,,,,,1
7,9.5,0.016035242,0,,,,,,,,,,,,0
8,0.5,0.003435301,0,,,,,,,,,,,,0
8,1.5,0.002972463,0,,,,,,,,,,,,0
8,2.5,0.003540132,1,,,,,,,,,,,,0
8,3.5,0.013841983,1,,,,,,,,,,,,0
8,4.5,0.004439877,1,,,,,,,,,,,,1
8,5.5,0.004115131,1,,,,,,,,,,,,1
8,6.5,-0.006836888,1,,,,,,,,,,,,0
8,7.5,0.002598015,1,,,,,,,,,,,,0
8,8.5,0.003324623,0,,,,,,,,,,,,0
8,9.5,0.003354496,0,,,,,,,,,,,,0
9,0.5,0.00339975,0,,,,,,,,,,,,0
9,1.5,0.004308987,0,,,,,,,,,,,,1
9,2.5,0.004454792,0,,,,,,,,,,,,1
9,3.5,0.00408047,1,,,,,,,,,,,,1
9,4.5,0.004594114,1,,,,,,,,,,,,1
9,5.5,0.00432975,1,,,,,,,,,,,,1
9,6.5,0.004371529,0,,,,,,,,,,,,1
9,7.5,0.004789452,0,,,,,,,,,,,,0
9,8.5,0.003324115,0,,,,,,,,,,,,0
9,9.5,0.003345471,0,,,,,,,,,,,,0
10,0.5,0.003406954,0,,,,,,,,,,,,0
10,1.5,-0.001360836,0,,,,,,,,,,,,0
10,2.5,0.014607617429999971,0,,,,,,,,,,,,1
10,3.5,0.00314615,0,,,,,,,,,,,,1
10,4.5,0.002689116,1,,,,,,,,,,,,1
10,5.5,0.003003226,1,,,,,,,,,,,,1
10,6.5,0.00227988,1,,,,,,,,,,,,1
10,7.5,0.003423099,1,,,,,,,,,,,,0
10,8.5,0.003288183,0,,,,,,,,,,,,0
10,9.5,0.003310386,0,,,,,,,,,,,,0
11,0.5,0.003469709,0,,0,,,,,,,,,,
11,1.5,0.003026997,1,,0,,,,,,,,,,
11,2.5,0.003700301,1,,0,,,,,,,,,,
