appliance,f1,precision,recall,accuracy,pos_rate,samples,positives
y_Hair_Iron,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.8043478260869565,0.5760869565217391,460,267
y_Coffee_maker,0.6466165413533834,0.6615384615384615,0.6323529411764706,0.5803571428571429,0.6071428571428571,559,341
y_Blender,0.6296296296296297,0.6071428571428571,0.6538461538461539,0.6428571428571429,0.4642857142857143,278,129
y_Incandescent_Light_Bulb,0.6290322580645161,0.6290322580645161,0.6290322580645161,0.603448275862069,0.5344827586206896,576,306
y_Air_Conditioner,0.6195652173913043,0.6404494382022472,0.6,0.5569620253164557,0.6012658227848101,790,476
y_Laptop,0.6153846153846154,0.6,0.631578947368421,0.5161290322580645,0.6129032258064516,462,284
y_Water_kettle,0.6,0.6101694915254238,0.5901639344262295,0.5932203389830508,0.5169491525423728,589,305
y_Fridge_defroster,0.5660377358490566,0.6818181818181818,0.4838709677419355,0.5892857142857143,0.5535714285714286,276,154
y_Vacuum,0.5591397849462365,0.6842105263157895,0.4727272727272727,0.5494505494505495,0.6043956043956044,453,276
y_Fridge,0.5565217391304348,0.6153846153846154,0.5079365079365079,0.5096153846153846,0.6057692307692307,516,312
y_Fan,0.5531914893617021,0.6341463414634146,0.49056603773584906,0.5483870967741935,0.5698924731182796,461,264
y_Compact_Fluorescent_Lamp,0.5517241379310345,0.6486486486486487,0.48,0.524390243902439,0.6097560975609756,407,246
