appliance,f1,precision,recall,accuracy,pos_rate,samples,positives
y_Impact_Drill_P0,0.9241379310344827,0.8589743589743589,1,0.984375,0.095170455,3520,336
y_Microwave_On_S0,0.8433734939759037,0.7291666666666666,1,0.9815340909090909,0.049715909,3520,176
y_AC_Adapter_Sony_M0,0.7728813559322034,0.7261146496815286,0.8260869565217391,0.9048295454545454,0.19602272727272727,3520,688
y_Phone_Charger_Asus_G0,0.7368421052631579,0.6,0.9545454545454546,0.9786931818181818,0.03125,3520,112
y_Smoke_Extractor_E0,0.6846153846153846,0.5426829268292683,0.9270833333333334,0.8835227272727273,0.13636363636363635,3520,480
y_LED_Panel_D0,0.6703910614525139,0.5357142857142857,0.8955223880597015,0.9161931818181818,0.095170455,3520,336
y_Incandescent_Lamp_N0,0.5565610859728507,0.40863787375415284,0.8723404255319149,0.7215909090909091,0.2002840909090909,3520,704
y_Oil_Heater_Q0,0.5524296675191815,0.3956043956043956,0.9152542372881356,0.7514204545454546,0.16761363636363635,3520,592
y_Oil_Heater_R0,0.5079365079365079,0.3516483516483517,0.9142857142857143,0.9119318181818182,0.049715909,3520,176
y_Soldering_Station_H0,0.49282296650717705,0.3588850174216028,0.7862595419847328,0.6988636363636364,0.18607954545454544,3520,656
y_Hair_Dryer_2000W_X0,0.4840764331210191,0.31932773109243695,1,0.8849431818181818,0.053977273,3520,192
y_Hair_Dryer_2100W_Y0,0.48,0.3157894736842105,1,0.8707386363636364,0.059659091,3520,208
y_Hair_Dryer_2100W_Z0,0.4691358024691358,0.3064516129032258,1,0.8778409090909091,0.053977273,3520,192
y_Phone_Charger_Motorola_I0,0.4413793103448276,0.2831858407079646,1,0.7698863636363636,0.090909091,3520,320
y_Hair_Dryer_1900W_U0,0.390625,0.25252525252525254,0.8620689655172413,0.8892045454545454,0.041193181818181816,3520,144
y_LED_Lamp_B0,0.3150684931506849,0.1875,0.9857142857142858,0.5738636363636364,0.099431818,3520,352
y_Microwave_Standby_A0,0.31443298969072164,0.18654434250764526,1,0.6221590909090909,0.086647727,3520,304
y_Resistor_200ohm_L0,0.3012987012987013,0.17901234567901234,0.9508196721311475,0.6178977272727273,0.086647727,3520,304
y_Hair_Dryer_1900W_V0,0.3004694835680751,0.17679558011049723,1,0.7883522727272727,0.045454545454545456,3520,160
y_Fan_Heater_T0,0.25892857142857145,0.14871794871794872,1,0.7642045454545454,0.041193181818181816,3520,144
y_Hair_Dryer_2000W_W0,0.19795221843003413,0.1124031007751938,0.8285714285714286,0.6661931818181818,0.049715909,3520,176
y_Fan_3Speed_K0,0.12121212121212122,0.064516129,1,0.6704545454545454,0.022727272727272728,3520,80
